rosbag record -o high /vis/odom_pose /vis/traj_path /vis/traj_pose /vis/odom_pose
t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz
0.5700,0.036242,0.034603,1.500000,0.171845,0.164131,0.000000,0.475442,0.454526,0.000000,0.762444,0.001294,0.928211,0.000000,0.000000,0.372055
0.5800,0.037985,0.036267,1.500000,0.176609,0.168686,0.000000,0.477428,0.456451,0.000000,0.762457,0.001306,0.928208,0.000000,0.000000,0.372061
0.5900,0.039774,0.037977,1.500000,0.181393,0.173260,0.000000,0.479228,0.458199,0.000000,0.762470,0.001318,0.928206,0.000000,0.000000,0.372067
0.6000,0.041612,0.039733,1.500000,0.186193,0.177850,0.000000,0.480844,0.459770,0.000000,0.762483,0.001330,0.928203,0.000000,0.000000,0.372073
0.6100,0.043498,0.041534,1.500000,0.191009,0.182454,0.000000,0.482276,0.461167,0.000000,0.762496,0.001342,0.928201,0.000000,0.000000,0.372079
0.6200,0.045433,0.043382,1.500000,0.195838,0.187072,0.000000,0.483527,0.462392,0.000000,0.762510,0.001355,0.928198,0.000000,0.000000,0.372086
0.6300,0.047415,0.045276,1.500000,0.200679,0.191702,0.000000,0.484598,0.463445,0.000000,0.762524,0.001367,0.928196,0.000000,0.000000,0.372092
0.6400,0.049446,0.047216,1.500000,0.205529,0.196341,0.000000,0.485491,0.464328,0.000000,0.762537,0.001380,0.928193,0.000000,0.000000,0.372098
0.6500,0.051526,0.049202,1.500000,0.210388,0.200988,0.000000,0.486208,0.465044,0.000000,0.762551,0.001393,0.928191,0.000000,0.000000,0.372105
0.6600,0.053654,0.051235,1.500000,0.215253,0.205641,0.000000,0.486750,0.465593,0.000000,0.762565,0.001406,0.928188,0.000000,0.000000,0.372111
0.6700,0.055831,0.053315,1.500000,0.220122,0.210299,0.000000,0.487119,0.465978,0.000000,0.762579,0.001420,0.928186,0.000000,0.000000,0.372118
0.6800,0.058056,0.055441,1.500000,0.224995,0.214960,0.000000,0.487316,0.466199,0.000000,0.762594,0.001433,0.928183,0.000000,0.000000,0.372124
0.6900,0.060331,0.057614,1.500000,0.229868,0.219622,0.000000,0.487344,0.466258,0.000000,0.762608,0.001447,0.928180,0.000000,0.000000,0.372131
0.7000,0.062654,0.059834,1.500000,0.234741,0.224285,0.000000,0.487204,0.466157,0.000000,0.762623,0.001461,0.928177,0.000000,0.000000,0.372138
0.7100,0.065026,0.062100,1.500000,0.239612,0.228945,0.000000,0.486897,0.465898,0.000000,0.762637,0.001475,0.928175,0.000000,0.000000,0.372145
0.7200,0.067446,0.064413,1.500000,0.244478,0.233602,0.000000,0.486425,0.465482,0.000000,0.762652,0.001489,0.928172,0.000000,0.000000,0.372152
0.7300,0.069915,0.066772,1.500000,0.249340,0.238254,0.000000,0.485791,0.464910,0.000000,0.762667,0.001504,0.928169,0.000000,0.000000,0.372159
0.7400,0.072433,0.069178,1.500000,0.254194,0.242900,0.000000,0.484995,0.464185,0.000000,0.762682,0.001519,0.928166,0.000000,0.000000,0.372166
0.7500,0.074999,0.071630,1.500000,0.259039,0.247537,0.000000,0.484039,0.463307,0.000000,0.762697,0.001533,0.928164,0.000000,0.000000,0.372173
0.7600,0.077614,0.074129,1.500000,0.263874,0.252165,0.000000,0.482925,0.462279,0.000000,0.762713,0.001549,0.928161,0.000000,0.000000,0.372180
0.7700,0.080276,0.076673,1.500000,0.268697,0.256782,0.000000,0.481655,0.461102,0.000000,0.762728,0.001564,0.928158,0.000000,0.000000,0.372187
0.7800,0.082987,0.079264,1.500000,0.273507,0.261387,0.000000,0.480230,0.459777,0.000000,0.762744,0.001580,0.928155,0.000000,0.000000,0.372194
0.7900,0.085747,0.081901,1.500000,0.278301,0.265977,0.000000,0.478652,0.458307,0.000000,0.762760,0.001596,0.928152,0.000000,0.000000,0.372202
0.8000,0.088553,0.084584,1.500000,0.283079,0.270553,0.000000,0.476923,0.456692,0.000000,0.762776,0.001612,0.928149,0.000000,0.000000,0.372209
0.8100,0.091408,0.087312,1.500000,0.287839,0.275111,0.000000,0.475044,0.454934,0.000000,0.762792,0.001628,0.928146,0.000000,0.000000,0.372217
0.8200,0.094310,0.090086,1.500000,0.292579,0.279651,0.000000,0.473016,0.453035,0.000000,0.762809,0.001645,0.928143,0.000000,0.000000,0.372224
0.8300,0.097260,0.092905,1.500000,0.297299,0.284171,0.000000,0.470843,0.450997,0.000000,0.762825,0.001662,0.928140,0.000000,0.000000,0.372232
0.8400,0.100256,0.095769,1.500000,0.301996,0.288670,0.000000,0.468524,0.448821,0.000000,0.762842,0.001679,0.928137,0.000000,0.000000,0.372240
0.8500,0.103299,0.098678,1.500000,0.306669,0.293147,0.000000,0.466063,0.446508,0.000000,0.762859,0.001696,0.928134,0.000000,0.000000,0.372247
0.8600,0.106389,0.101632,1.500000,0.311317,0.297600,0.000000,0.463460,0.444061,0.000000,0.762876,0.001714,0.928130,0.000000,0.000000,0.372255
0.8700,0.109526,0.104630,1.500000,0.315938,0.302028,0.000000,0.460717,0.441480,0.000000,0.762893,0.001732,0.928127,0.000000,0.000000,0.372263
0.8800,0.112708,0.107673,1.500000,0.320530,0.306429,0.000000,0.457836,0.438768,0.000000,0.762910,0.001750,0.928124,0.000000,0.000000,0.372271
0.8900,0.115936,0.110759,1.500000,0.325094,0.310803,0.000000,0.454819,0.435925,0.000000,0.762928,0.001768,0.928121,0.000000,0.000000,0.372280
0.9000,0.119210,0.113888,1.500000,0.329626,0.315147,0.000000,0.451667,0.432954,0.000000,0.762946,0.001787,0.928117,0.000000,0.000000,0.372288
0.9100,0.122529,0.117062,1.500000,0.334127,0.319461,0.000000,0.448381,0.429856,0.000000,0.762964,0.001806,0.928114,0.000000,0.000000,0.372296
0.9200,0.125892,0.120278,1.500000,0.338594,0.323744,0.000000,0.444965,0.426633,0.000000,0.762982,0.001826,0.928111,0.000000,0.000000,0.372305
0.9300,0.129300,0.123536,1.500000,0.343026,0.327994,0.000000,0.441418,0.423286,0.000000,0.763000,0.001845,0.928107,0.000000,0.000000,0.372313
0.9400,0.132753,0.126837,1.500000,0.347422,0.332209,0.000000,0.437744,0.419817,0.000000,0.763019,0.001865,0.928104,0.000000,0.000000,0.372322
0.9500,0.136249,0.130180,1.500000,0.351780,0.336390,0.000000,0.433943,0.416228,0.000000,0.763037,0.001886,0.928100,0.000000,0.000000,0.372330
0.9600,0.139788,0.133565,1.500000,0.356100,0.340533,0.000000,0.430017,0.412519,0.000000,0.763056,0.001907,0.928097,0.000000,0.000000,0.372339
0.9700,0.143371,0.136991,1.500000,0.360380,0.344640,0.000000,0.425968,0.408693,0.000000,0.763076,0.001928,0.928093,0.000000,0.000000,0.372348
0.9800,0.146996,0.140458,1.500000,0.364619,0.348707,0.000000,0.421798,0.404751,0.000000,0.763095,0.001949,0.928090,0.000000,0.000000,0.372357
0.9900,0.150663,0.143965,1.500000,0.368816,0.352734,0.000000,0.417508,0.400695,0.000000,0.763115,0.001971,0.928086,0.000000,0.000000,0.372366
1.0000,0.154372,0.147512,1.500000,0.372969,0.356720,0.000000,0.413099,0.396526,0.000000,0.763134,0.001993,0.928082,0.000000,0.000000,0.372375
